Country_ISO3,Country,Development_Status,Current_tariff_total,Current_tariff_manufacturing,Current_tariff_agriculture,Current_tariff_fuels_mining,Current_tariff_other,Pre2025_tariff_total,Pre2025_tariff_manufacturing,Pre2025_tariff_agriculture,Pre2025_tariff_fuels_mining,Pre2025_tariff_other,Imports_total,Imports_manufacturing,Imports_agriculture,Imports_fuels_mining,Imports_other,Notes
ABW,Aruba,Developing,2.9419999,12.788,,10,0,.086000003,.479,,0,0,10945491,1902483,0,690975,8026313,"Update: Trade-weighted tariffs as of 13 November 2025. US import values for the year 2024. For details on considered tariff changes, see: https://unctad.org/topic/trade-analysis/tariffs/tariff-dashboard "
AFG,Afghanistan,Least developed,14.986,16.829,14.833,14.934,0,1.904,1.346,2.299,.072999999,0,23866448,6120295,15758901,921267,587504,
AGO,Angola,Least developed,1.142,22.472,3.9990001,.90700001,,.052999999,4.8990002,0,0,,1912507392,20773280,360589,1891373494,0,
ALB,Albania,Developed,10.601,10.768,10.021,27.063999,0,3.8900001,4.802,.52100003,6.3270001,0,133138596,103659318,27656220,253954,508073,
AND,Andorra,Developed,11.518,12.193,10,0,0,1.591,1.686,0,0,0,3478665,3249073,2983,11465,178595,
ARE,United Arab Emirates,Developing,18.948999,25.32,10.765,20.657,0,4.9559999,7.8390002,3.7620001,4.112,0,7733198591,3159918575,154684187,3093783388,1274512196,
ARG,Argentina,Developing,9.9779997,11.758,11.906,8.3920002,0,1.314,.884,3.2260001,.093000002,0,7415074109,1509693130,2513399694,3123379692,258433326,
ARM,Armenia,Developing,11.403,15.539,13.065,9.8760004,0,1.715,5.5549998,3.427,.13,0,128752240,23972427,21787760,80440829,1101207,
ATG,Antigua and Barbuda,Developing,8.3179998,10.023,10,16.410999,0,.60600001,.029999999,0,3.0550001,0,24019155,11974088,248718,4607637,6987696,
AUS,Australia,Developed,7.6370001,12.051,4.507,6.71,1.318,.046,.0099999998,.131,0,0,17044138633,7122910228,5428545405,2501885551,1919461120,
AZE,Azerbaijan,Developing,29.740999,17.68,10.091,51.705002,0,7.1329999,3.6630001,1.997,12.608,0,162795039,27112127,3980216,83353213,47932781,
BDI,Burundi,Least developed,2.4549999,25.400999,0,,,1.5,15.519,0,,,3796798,365463,3415789,0,0,
BEN,Benin,Least developed,8.3149996,25.847,7.6529999,,0,0,.0049999999,0,,0,53491866,3221658,47180538,0,3040680,
BFA,Burkina Faso,Least developed,2.7739999,20.118,.44400001,,0,.45100001,2.638,.16,,0,4687036,551585,3960457,0,121695,
BGD,Bangladesh,Least developed,35.078999,35.308998,18.861,,0,15.147,15.288,2.516,,0,8773684792,8613289801,64177344,0,26706937,
BHR,Bahrain,Developing,32.255001,22.853001,10,36.612999,0,5.0209999,.82300001,0,6.4899998,0,1307726036,276771688,9118191,975586902,44831940,
BHS,Bahamas,Developing,1.434,10.591,9.9949999,1.3609999,0,.17900001,.107,.003,.47499999,0,1839126583,62953251,104088392,678170311,989328312,
BIH,Bosnia and Herzegovina,Developed,34.574001,35.124001,18.222,32.389999,0,4.2540002,4.3369999,2.1440001,.92500001,0,185967058,176323966,4633149,755552,570167,
BLZ,Belize,Developing,8.5139999,15.229,9.066,9.9390001,0,.017000001,.38100001,.0040000002,0,0,86375434,3061294,74777050,836323,7409416,
BOL,Bolivia (Plurinational State of),Developing,4.2179999,13.244,9.0620003,1.211,0,.583,2.2090001,1.155,.142,0,513968116,52226356,118822027,328253326,14164069,
BRA,Brazil,Developing,23.75,38.123001,22.149,4.9250002,0,2.1210001,1.579,5.4359999,.426,0,44216119705,19913739585,10554485038,10938844721,2670575268,
BRB,Barbados,Developing,8.2600002,10.582,9.8219995,6.2470002,0,.032000002,.123,.0049999999,0,0,50634623,11772862,27911291,2029312,8091365,
BRN,Brunei Darussalam,Developing,19.740999,25.167,6.4000001,.15800001,0,1.002,1.242,6.4000001,.15800001,0,248330729,194455008,56574,43581953,10173390,
BTN,Bhutan,Developing,11.096,11.508,9.9230003,10,0,1.449,1.506,1.443,0,0,3589787,3411286,28119,11383,122700,
BWA,Botswana,Developing,14.999,23.466999,15.3,15,0,.0020000001,.64600003,0,0,0,415014090,1248276,2501,412434593,747486,
CAF,Central African Republic,Least developed,13.456,23.280001,2.1860001,2.2420001,0,1.581,2.9219999,0,0,0,1468418,778807,270824,284489,104686,
CAN,Canada,Developed,11.091,18.766001,5.165,4.9580002,.057,.0060000001,0,.046999998,0,0,421215145130,191259421150,53357189691,156408547113,17451888214,
CHE,"Switzerland, Liechtenstein",Developed,11.956,12.911,14.288,5.96,.026000001,.60500002,.63200003,1.456,.20100001,0,63780540741,51239573369,1873557934,2500451819,3212537795,
CHL,Chile,Developing,6.1849999,12.515,9.6029997,.79299998,0,.13500001,.58099997,.12800001,0,0,17365366130,2400013815,7463046106,7069859638,415885070,
CHN,China,Developing,37.244999,37.713001,36.313999,52.019001,.071000002,12.291,12.303,17.830999,23.413,.028000001,462417380143,439783432888,7706303229,2808912324,6468208137,
CIV,Côte d'Ivoire,Developing,.861,12.708,.68300003,,0,.0040000002,.257,0,,0,1052996280,15846926,1032196185,0,4513112,
CMR,Cameroon,Developing,.89399999,8.3660002,.55900002,.112,.0080000004,.14399999,.685,.101,.103,0,258643295,19188150,97627195,136964119,4092432,
COD,"Congo, Dem. Rep. of the",Least developed,1.656,18.638,6.1739998,1.198,0,.0049999999,.57099998,0,0,0,327516332,2735052,20743258,302969748,918597,
COG,Congo,Developing,1.478,10.862,.491,1.01,0,.003,.041999999,0,0,0,41583427,3314571,24095428,13326700,733056,
COK,Cook Islands,Developing,4.4629998,15.848,,,.162,.80699998,2.944,,,0,903171,239830,0,0,634893,
COL,Colombia,Developing,5.7059999,23.556,5.882,.51300001,0,.81300002,3.832,.62,.037,0,18611657081,2977231776,4793987156,10086513239,281881403,
COM,Comoros,Least developed,1.183,4.7509999,0,,,.106,.426,0,,,1870433,462627,1395574,0,0,
CPV,Cabo Verde,Developing,24.747,15.445,28.534,,0,.336,2.335,0,,0,4248164,603840,3313419,0,280141,
CRI,Costa Rica,Developing,10.518,13.834,3.3110001,5.4219999,0,.25600001,.175,.61900002,.241,0,11996355735,8332688085,2476397671,147601370,858188448,
CUW,Curaçao,Developing,5.2410002,20.664,10,2.0420001,0,.127,.62699997,0,0,0,34423017,6815481,200481,16693570,10047576,
DJI,Djibouti,Least developed,.50999999,20.176001,7.0890002,,0,.0040000002,.24600001,0,,0,40559750,618085,1132683,0,38448952,
DMA,Dominica,Developing,6.0100002,8.4429998,4.0279999,9.7460003,0,.29899999,.72600001,0,0,0,2335603,912493,189562,499818,617738,
